,t,c,c1,c2,c3,o,o1,o2,o3,h,l,mean,std,upper,lower,sma_5,sma_15,diff,rule_1,rule_2,rule_3,rule_4,golden,dead
64,2019-04-08 19:50:00,111.46799999999999,111.44,111.443,111.471,111.43799999999999,111.44,111.469,111.431,111.46799999999999,111.43299999999999,111.45375000000001,0.021410462272803934,111.49657092454562,111.4109290754544,111.45,111.45,0.0,1,-1,1,-1,0,0
65,2019-04-08 20:00:00,111.464,111.46799999999999,111.44,111.443,111.46600000000001,111.43799999999999,111.44,111.469,111.48,111.456,111.45435,0.02152666644929837,111.4974033328986,111.41129666710141,111.46,111.45,0.009999999999990905,1,-1,1,-1,1,0
66,2019-04-08 20:10:00,111.45,111.464,111.46799999999999,111.44,111.46600000000001,111.46600000000001,111.43799999999999,111.44,111.46799999999999,111.447,111.45424999999997,0.021542797062161154,111.4973355941243,111.41116440587565,111.45,111.45,0.0,1,-1,1,-1,0,0
67,2019-04-08 20:20:00,111.446,111.45,111.464,111.46799999999999,111.45200000000001,111.46600000000001,111.46600000000001,111.43799999999999,111.463,111.446,111.45349999999999,0.02155653521613875,111.49661307043228,111.41038692956771,111.45,111.45,0.0,1,-1,1,0,0,0
68,2019-04-08 20:30:00,111.434,111.446,111.45,111.464,111.444,111.45200000000001,111.46600000000001,111.46600000000001,111.45,111.428,111.45155,0.021463494099186194,111.49447698819837,111.40862301180162,111.45,111.44,0.010000000000005116,1,-1,1,0,0,0
69,2019-04-08 20:40:00,111.45299999999999,111.434,111.446,111.45,111.432,111.444,111.45200000000001,111.46600000000001,111.456,111.426,111.45049999999999,0.02081118120521724,111.49212236241043,111.40887763758955,111.45,111.44,0.010000000000005116,1,-1,1,-1,0,0
70,2019-04-08 20:50:00,111.45200000000001,111.45299999999999,111.434,111.446,111.456,111.432,111.444,111.45200000000001,111.46,111.43,111.44829999999999,0.0178652853615913,111.48403057072318,111.4125694292768,111.45,111.44,0.010000000000005116,1,-1,1,-1,0,0
71,2019-04-08 21:00:00,111.46799999999999,111.45200000000001,111.45299999999999,111.434,111.45,111.456,111.432,111.444,111.47200000000001,111.45,111.4476,0.01671242840392454,111.48102485680785,111.41417514319214,111.45,111.45,0.0,1,-1,1,-1,0,0
72,2019-04-08 21:10:00,111.45299999999999,111.46799999999999,111.45200000000001,111.45299999999999,111.47,111.45,111.456,111.432,111.47200000000001,111.448,111.44709999999998,0.016373598774872992,111.47984719754973,111.41435280245022,111.45,111.45,0.0,1,-1,1,-1,0,0
73,2019-04-08 21:20:00,111.459,111.45299999999999,111.46799999999999,111.45200000000001,111.456,111.47,111.45,111.456,111.473,111.45,111.44734999999996,0.01652199490944957,111.48039398981885,111.41430601018106,111.46,111.45,0.009999999999990905,1,-1,1,-1,0,0
74,2019-04-08 21:30:00,111.43700000000001,111.459,111.45299999999999,111.46799999999999,111.45700000000001,111.456,111.47,111.45,111.46600000000001,111.43299999999999,111.44634999999997,0.01651243550522384,111.47937487101042,111.41332512898951,111.45,111.45,0.0,1,-1,1,-1,0,0
75,2019-04-08 21:40:00,111.406,111.43700000000001,111.459,111.45299999999999,111.434,111.45700000000001,111.456,111.47,111.447,111.406,111.44364999999996,0.018462693536697678,111.48057538707336,111.40672461292657,111.44,111.45,-0.010000000000005116,1,-1,1,-1,0,1
76,2019-04-08 21:50:00,111.36,111.406,111.43700000000001,111.459,111.404,111.434,111.45700000000001,111.456,111.404,111.36,111.44004999999997,0.02623672596708867,111.49252345193415,111.3875765480658,111.42,111.44,-0.01999999999999602,1,-1,1,0,0,0
77,2019-04-08 22:00:00,111.374,111.36,111.406,111.43700000000001,111.35799999999999,111.404,111.434,111.45700000000001,111.37899999999999,111.348,111.43789999999997,0.02975142632580088,111.49740285265158,111.37839714734837,111.41,111.44,-0.030000000000001137,1,-1,1,-1,0,0
78,2019-04-08 22:10:00,111.354,111.374,111.36,111.406,111.37200000000001,111.35799999999999,111.404,111.434,111.389,111.344,111.43499999999997,0.034806230537202956,111.50461246107437,111.36538753892557,111.39,111.43,-0.04000000000000625,1,-1,1,-1,0,0
79,2019-04-08 22:20:00,111.32600000000001,111.354,111.374,111.36,111.35600000000001,111.37200000000001,111.35799999999999,111.404,111.35799999999999,111.30799999999999,111.42959999999997,0.042497554109164844,111.5145951082183,111.34460489178163,111.36,111.42,-0.060000000000002274,1,-1,1,-1,0,0
80,2019-04-08 22:30:00,111.31200000000001,111.32600000000001,111.354,111.374,111.324,111.35600000000001,111.37200000000001,111.35799999999999,111.329,111.304,111.42349999999995,0.04993732914467255,111.5233746582893,111.3236253417106,111.35,111.41,-0.060000000000002274,1,-1,1,0,0,0
81,2019-04-08 22:40:00,111.31200000000001,111.31200000000001,111.32600000000001,111.354,111.309,111.324,111.35600000000001,111.37200000000001,111.33200000000001,111.306,111.41554999999994,0.054431487597744174,111.52441297519543,111.30668702480445,111.34,111.4,-0.060000000000002274,1,-1,1,-1,0,0
82,2019-04-08 22:50:00,111.31200000000001,111.31200000000001,111.31200000000001,111.32600000000001,111.309,111.309,111.324,111.35600000000001,111.316,111.28399999999999,111.40899999999992,0.05867125181442723,111.52634250362877,111.29165749637107,111.32,111.39,-0.07000000000000739,1,-1,1,-1,0,0
83,2019-04-08 23:00:00,111.37700000000001,111.31200000000001,111.31200000000001,111.31200000000001,111.314,111.309,111.309,111.324,111.38600000000001,111.31200000000001,111.40584999999992,0.05861046700124105,111.52307093400239,111.28862906599744,111.33,111.39,-0.060000000000002274,1,0,1,-1,0,0
84,2019-04-08 23:10:00,111.402,111.37700000000001,111.31200000000001,111.31200000000001,111.374,111.314,111.309,111.309,111.405,111.352,111.40254999999993,0.05675568601237402,111.51606137202468,111.28903862797519,111.34,111.39,-0.04999999999999716,1,0,1,-1,0,0
85,2019-04-08 23:20:00,111.38799999999999,111.402,111.37700000000001,111.31200000000001,111.404,111.374,111.314,111.309,111.40899999999999,111.37200000000001,111.39874999999992,0.05494003908567178,111.50863007817127,111.28886992182858,111.36,111.38,-0.01999999999999602,1,-1,1,-1,0,0
86,2019-04-08 23:30:00,111.368,111.38799999999999,111.402,111.37700000000001,111.38600000000001,111.404,111.374,111.314,111.39200000000001,111.366,111.39464999999993,0.05396516907860714,111.50258033815714,111.28671966184271,111.37,111.38,-0.009999999999990905,1,-1,1,-1,0,0
87,2019-04-08 23:40:00,111.38799999999999,111.368,111.38799999999999,111.402,111.365,111.38600000000001,111.404,111.374,111.391,111.36,111.39174999999993,0.052601655967515405,111.49695331193496,111.2865466880649,111.38,111.37,0.009999999999990905,1,-1,1,-1,1,0
88,2019-04-08 23:50:00,111.41799999999999,111.38799999999999,111.368,111.38799999999999,111.39,111.365,111.38600000000001,111.404,111.421,111.366,111.39094999999993,0.05204398443420726,111.49503796886835,111.28686203113152,111.39,111.37,0.01999999999999602,1,-1,1,-1,0,0
89,2019-04-09 00:00:00,111.47200000000001,111.41799999999999,111.38799999999999,111.368,111.421,111.39,111.365,111.38600000000001,111.52600000000001,111.413,111.39189999999994,0.05339219339742564,111.49868438679479,111.28511561320508,111.41,111.37,0.03999999999999204,1,0,1,-1,0,0
90,2019-04-09 00:10:00,111.46799999999999,111.47200000000001,111.41799999999999,111.38799999999999,111.47399999999999,111.421,111.39,111.365,111.48899999999999,111.455,111.39269999999992,0.054449493738872014,111.50159898747766,111.28380101252218,111.42,111.38,0.04000000000000625,1,-1,1,-1,0,0
91,2019-04-09 00:20:00,111.478,111.46799999999999,111.47200000000001,111.41799999999999,111.46600000000001,111.47399999999999,111.421,111.39,111.478,111.43299999999999,111.39319999999994,0.055217846085429886,111.50363569217079,111.28276430782908,111.44,111.38,0.060000000000002274,1,-1,1,-1,0,0
92,2019-04-09 00:30:00,111.495,111.478,111.46799999999999,111.47200000000001,111.476,111.46600000000001,111.47399999999999,111.421,111.51,111.476,111.39529999999993,0.05832314698027391,111.51194629396048,111.27865370603939,111.47,111.39,0.0799999999999983,1,-1,1,-1,0,0
93,2019-04-09 00:40:00,111.484,111.495,111.478,111.46799999999999,111.49799999999999,111.476,111.46600000000001,111.47399999999999,111.506,111.479,111.39654999999993,0.060003925310181866,111.5165578506203,111.27654214937957,111.48,111.4,0.0799999999999983,1,-1,1,-1,0,0
94,2019-04-09 00:50:00,111.473,111.484,111.495,111.478,111.486,111.49799999999999,111.476,111.46600000000001,111.492,111.47,111.39834999999994,0.06179445980956619,111.52193891961907,111.2747610803808,111.48,111.41,0.07000000000000739,1,-1,1,-1,0,0
95,2019-04-09 01:00:00,111.47,111.473,111.484,111.495,111.476,111.486,111.49799999999999,111.476,111.478,111.455,111.40154999999993,0.06383488157160755,111.52921976314315,111.27388023685671,111.48,111.42,0.060000000000002274,1,-1,1,0,0,0
96,2019-04-09 01:10:00,111.478,111.47,111.473,111.484,111.473,111.476,111.486,111.49799999999999,111.48299999999999,111.464,111.40744999999993,0.0652303408577538,111.53791068171543,111.27698931828442,111.48,111.43,0.04999999999999716,1,-1,1,-1,0,0
97,2019-04-09 01:20:00,111.478,111.478,111.47,111.473,111.48100000000001,111.473,111.476,111.486,111.486,111.473,111.41264999999994,0.06655529952403685,111.54576059904802,111.27953940095186,111.48,111.44,0.04000000000000625,1,-1,1,-1,0,0
98,2019-04-09 01:30:00,111.45200000000001,111.478,111.478,111.47,111.48100000000001,111.48100000000001,111.473,111.476,111.48100000000001,111.45200000000001,111.41754999999996,0.06561087441958689,111.54877174883913,111.2863282511608,111.47,111.45,0.01999999999999602,1,-1,1,-1,0,0
99,2019-04-09 01:40:00,111.447,111.45200000000001,111.478,111.478,111.45,111.48100000000001,111.48100000000001,111.473,111.45,111.43799999999999,111.42359999999996,0.06221558444124428,111.54803116888246,111.29916883111747,111.46,111.45,0.009999999999990905,1,-1,1,0,0,0
100,2019-04-09 01:50:00,111.454,111.447,111.45200000000001,111.478,111.45,111.45,111.48100000000001,111.48100000000001,111.46799999999999,111.448,111.43069999999997,0.056664385918985045,111.54402877183794,111.317371228162,111.46,111.45,0.009999999999990905,1,-1,1,-1,0,0
101,2019-04-09 02:00:00,111.48200000000001,111.454,111.447,111.45200000000001,111.45700000000001,111.45,111.45,111.48100000000001,111.48200000000001,111.45700000000001,111.43919999999999,0.05031647213803603,111.53983294427606,111.33856705572391,111.46,111.46,0.0,1,-1,1,-1,0,0
102,2019-04-09 02:10:00,111.478,111.48200000000001,111.454,111.447,111.479,111.45700000000001,111.45,111.45,111.48299999999999,111.47200000000001,111.44749999999999,0.04107182412358636,111.52964364824716,111.36535635175282,111.46,111.47,-0.010000000000005116,1,-1,1,-1,0,1
