index,time,close,open,high,low,volume
227,2019-04-08 23:21:35,111.399,111.396,111.399,111.396,2
228,2019-04-08 23:21:50,111.401,111.401,111.401,111.401,1
229,2019-04-08 23:21:55,111.399,111.399,111.399,111.399,1
230,2019-04-08 23:22:00,111.396,111.396,111.396,111.394,3
231,2019-04-08 23:22:15,111.394,111.394,111.394,111.394,1
232,2019-04-08 23:22:25,111.389,111.396,111.396,111.389,4
233,2019-04-08 23:22:40,111.384,111.386,111.386,111.384,2
234,2019-04-08 23:22:45,111.386,111.386,111.386,111.386,1
235,2019-04-08 23:22:50,111.384,111.384,111.384,111.384,1
236,2019-04-08 23:23:15,111.386,111.386,111.386,111.386,1
237,2019-04-08 23:23:30,111.384,111.384,111.384,111.384,1
238,2019-04-08 23:23:35,111.378,111.381,111.381,111.378,2
239,2019-04-08 23:23:55,111.374,111.376,111.376,111.374,2
240,2019-04-08 23:24:00,111.376,111.376,111.376,111.376,1
241,2019-04-08 23:24:05,111.378,111.378,111.378,111.378,1
242,2019-04-08 23:24:35,111.376,111.376,111.376,111.376,1
243,2019-04-08 23:24:40,111.376,111.374,111.376,111.374,2
244,2019-04-08 23:24:45,111.376,111.374,111.376,111.374,2
245,2019-04-08 23:24:55,111.374,111.374,111.374,111.374,1
246,2019-04-08 23:25:05,111.379,111.376,111.379,111.376,2
247,2019-04-08 23:25:10,111.382,111.382,111.382,111.382,1
248,2019-04-08 23:25:35,111.377,111.38,111.38,111.377,2
249,2019-04-08 23:26:00,111.382,111.379,111.382,111.379,2
250,2019-04-08 23:26:15,111.38,111.38,111.38,111.38,1
251,2019-04-08 23:26:20,111.378,111.378,111.378,111.378,1
252,2019-04-08 23:26:30,111.375,111.375,111.375,111.375,1
253,2019-04-08 23:26:35,111.375,111.372,111.375,111.372,2
254,2019-04-08 23:26:40,111.378,111.378,111.378,111.378,1
255,2019-04-08 23:27:00,111.38,111.38,111.382,111.38,3
256,2019-04-08 23:27:05,111.38,111.382,111.384,111.38,4
257,2019-04-08 23:27:30,111.384,111.382,111.384,111.382,2
258,2019-04-08 23:27:35,111.387,111.387,111.387,111.387,1
259,2019-04-08 23:27:40,111.384,111.384,111.384,111.384,1
260,2019-04-08 23:28:10,111.388,111.388,111.388,111.388,1
261,2019-04-08 23:28:20,111.39,111.39,111.39,111.39,1
262,2019-04-08 23:28:30,111.393,111.393,111.393,111.393,1
263,2019-04-08 23:29:00,111.39,111.39,111.39,111.39,1
264,2019-04-08 23:29:05,111.386,111.388,111.388,111.386,2
265,2019-04-08 23:29:35,111.388,111.388,111.388,111.388,1
266,2019-04-08 23:30:05,111.38,111.386,111.386,111.38,3
267,2019-04-08 23:30:10,111.383,111.383,111.383,111.383,1
268,2019-04-08 23:30:15,111.385,111.385,111.385,111.385,1
269,2019-04-08 23:30:45,111.38,111.382,111.382,111.38,2
270,2019-04-08 23:31:10,111.385,111.382,111.385,111.382,2
271,2019-04-08 23:31:25,111.383,111.383,111.383,111.383,1
272,2019-04-08 23:31:30,111.385,111.385,111.385,111.385,1
273,2019-04-08 23:33:00,111.383,111.383,111.383,111.38,3
274,2019-04-08 23:33:05,111.383,111.385,111.385,111.383,2
275,2019-04-08 23:33:10,111.386,111.386,111.386,111.386,1
276,2019-04-08 23:34:00,111.38,111.383,111.383,111.38,2
277,2019-04-08 23:34:55,111.372,111.378,111.378,111.372,3
278,2019-04-08 23:35:00,111.378,111.375,111.378,111.375,2
279,2019-04-08 23:35:05,111.382,111.38,111.382,111.38,2
280,2019-04-08 23:35:10,111.38,111.384,111.384,111.38,3
281,2019-04-08 23:35:20,111.378,111.378,111.378,111.378,1
282,2019-04-08 23:35:25,111.374,111.374,111.374,111.374,1
283,2019-04-08 23:35:35,111.377,111.377,111.377,111.377,1
284,2019-04-08 23:35:40,111.379,111.379,111.379,111.379,1
285,2019-04-08 23:35:50,111.376,111.376,111.376,111.376,1
286,2019-04-08 23:36:05,111.378,111.378,111.378,111.378,1
287,2019-04-08 23:36:35,111.382,111.382,111.382,111.382,1
288,2019-04-08 23:36:40,111.38,111.38,111.382,111.38,3
289,2019-04-08 23:36:45,111.384,111.382,111.384,111.382,2
290,2019-04-08 23:36:55,111.387,111.387,111.387,111.387,1
291,2019-04-08 23:37:10,111.38,111.384,111.384,111.38,3
292,2019-04-08 23:37:20,111.384,111.382,111.384,111.382,2
293,2019-04-08 23:37:35,111.392,111.387,111.392,111.387,3
294,2019-04-08 23:37:50,111.386,111.389,111.389,111.386,2
295,2019-04-08 23:37:55,111.391,111.389,111.391,111.389,2
296,2019-04-08 23:38:25,111.386,111.388,111.388,111.386,2
297,2019-04-08 23:39:30,111.381,111.384,111.384,111.38,4
298,2019-04-08 23:39:35,111.378,111.378,111.378,111.378,1
299,2019-04-08 23:39:40,111.374,111.376,111.376,111.374,2
300,2019-04-08 23:39:45,111.368,111.372,111.372,111.366,4
301,2019-04-08 23:40:50,111.365,111.365,111.365,111.365,1
302,2019-04-08 23:41:05,111.366,111.363,111.366,111.363,2
303,2019-04-08 23:41:55,111.362,111.362,111.362,111.362,1
304,2019-04-08 23:42:05,111.366,111.366,111.366,111.366,1
305,2019-04-08 23:42:10,111.368,111.368,111.368,111.368,1
306,2019-04-08 23:42:20,111.365,111.37,111.37,111.365,3
307,2019-04-08 23:42:35,111.362,111.362,111.362,111.362,1
308,2019-04-08 23:42:45,111.364,111.364,111.364,111.364,1
309,2019-04-08 23:42:50,111.366,111.366,111.366,111.366,1
310,2019-04-08 23:42:55,111.372,111.37,111.372,111.37,2
311,2019-04-08 23:43:30,111.374,111.374,111.374,111.374,1
312,2019-04-08 23:43:50,111.382,111.377,111.382,111.377,3
313,2019-04-08 23:44:05,111.374,111.379,111.379,111.374,3
314,2019-04-08 23:44:25,111.371,111.372,111.372,111.369,3
315,2019-04-08 23:44:30,111.374,111.374,111.374,111.374,1
316,2019-04-08 23:44:45,111.374,111.372,111.374,111.372,2
317,2019-04-08 23:44:50,111.373,111.371,111.373,111.371,2
318,2019-04-08 23:44:55,111.373,111.376,111.378,111.373,4
319,2019-04-08 23:45:00,111.368,111.37,111.37,111.368,2
320,2019-04-08 23:45:15,111.372,111.37,111.372,111.37,2
321,2019-04-08 23:45:20,111.375,111.375,111.375,111.375,1
322,2019-04-08 23:45:30,111.372,111.372,111.372,111.372,1
323,2019-04-08 23:45:35,111.37,111.37,111.37,111.37,1
324,2019-04-08 23:45:55,111.368,111.368,111.368,111.368,1
325,2019-04-08 23:46:00,111.363,111.366,111.366,111.363,2
326,2019-04-08 23:46:15,111.36,111.36,111.36,111.36,1
327,2019-04-08 23:46:20,111.363,111.363,111.363,111.363,1
328,2019-04-08 23:46:35,111.361,111.361,111.361,111.361,1
329,2019-04-08 23:46:40,111.366,111.364,111.366,111.364,2
330,2019-04-08 23:46:55,111.364,111.364,111.364,111.364,1
331,2019-04-08 23:47:00,111.366,111.366,111.366,111.366,1
332,2019-04-08 23:47:05,111.366,111.368,111.368,111.366,2
333,2019-04-08 23:47:10,111.366,111.363,111.366,111.363,2
334,2019-04-08 23:47:15,111.368,111.368,111.368,111.368,1
335,2019-04-08 23:47:20,111.366,111.366,111.368,111.366,3
336,2019-04-08 23:47:25,111.368,111.368,111.368,111.368,1
337,2019-04-08 23:47:35,111.363,111.366,111.366,111.363,2
338,2019-04-08 23:48:05,111.36,111.36,111.36,111.36,1
339,2019-04-08 23:48:20,111.368,111.364,111.368,111.364,3
340,2019-04-08 23:48:45,111.368,111.372,111.374,111.368,4
341,2019-04-08 23:48:55,111.369,111.372,111.372,111.369,2
342,2019-04-08 23:49:10,111.374,111.372,111.374,111.372,2
343,2019-04-08 23:49:20,111.376,111.376,111.376,111.374,3
344,2019-04-08 23:49:25,111.376,111.378,111.378,111.376,2
345,2019-04-08 23:49:30,111.374,111.374,111.374,111.374,1
346,2019-04-08 23:49:35,111.389,111.376,111.389,111.376,6
347,2019-04-08 23:49:40,111.388,111.391,111.391,111.388,2
348,2019-04-08 23:49:45,111.388,111.39,111.39,111.388,2
349,2019-04-08 23:50:00,111.393,111.39,111.393,111.39,2
350,2019-04-08 23:50:05,111.398,111.396,111.398,111.396,2
351,2019-04-08 23:50:10,111.394,111.396,111.396,111.394,2
352,2019-04-08 23:50:25,111.398,111.396,111.398,111.396,2
353,2019-04-08 23:50:50,111.404,111.402,111.404,111.402,2
354,2019-04-08 23:50:55,111.402,111.402,111.402,111.399,3
355,2019-04-08 23:51:00,111.4,111.4,111.4,111.4,1
356,2019-04-08 23:51:05,111.399,111.397,111.399,111.397,2
357,2019-04-08 23:51:15,111.394,111.397,111.397,111.394,2
358,2019-04-08 23:51:20,111.384,111.392,111.392,111.384,6
359,2019-04-08 23:51:25,111.383,111.381,111.383,111.381,2
360,2019-04-08 23:51:40,111.388,111.386,111.388,111.386,2
361,2019-04-08 23:51:45,111.393,111.39,111.393,111.39,2
362,2019-04-08 23:51:50,111.388,111.39,111.39,111.388,2
363,2019-04-08 23:51:55,111.386,111.386,111.386,111.386,1
364,2019-04-08 23:52:00,111.386,111.384,111.386,111.384,2
365,2019-04-08 23:52:10,111.384,111.384,111.384,111.384,1
366,2019-04-08 23:52:20,111.384,111.386,111.386,111.384,2
367,2019-04-08 23:52:40,111.386,111.386,111.386,111.386,1
368,2019-04-08 23:52:50,111.39,111.388,111.39,111.388,2
369,2019-04-08 23:52:55,111.386,111.388,111.388,111.386,2
370,2019-04-08 23:53:00,111.38,111.383,111.383,111.38,2
371,2019-04-08 23:53:05,111.386,111.383,111.386,111.383,2
372,2019-04-08 23:53:10,111.383,111.388,111.388,111.383,3
373,2019-04-08 23:53:15,111.39,111.385,111.39,111.385,3
374,2019-04-08 23:53:20,111.392,111.392,111.392,111.392,1
375,2019-04-08 23:53:25,111.392,111.39,111.392,111.39,2
376,2019-04-08 23:53:35,111.39,111.39,111.39,111.39,1
377,2019-04-08 23:53:50,111.392,111.392,111.392,111.392,1
378,2019-04-08 23:54:00,111.39,111.39,111.39,111.39,1
379,2019-04-08 23:54:05,111.388,111.388,111.388,111.388,1
380,2019-04-08 23:54:10,111.384,111.384,111.384,111.384,1
381,2019-04-08 23:54:35,111.382,111.382,111.382,111.382,1
382,2019-04-08 23:54:40,111.38,111.38,111.38,111.38,1
383,2019-04-08 23:54:55,111.368,111.377,111.377,111.368,4
384,2019-04-08 23:55:05,111.369,111.372,111.372,111.369,2
385,2019-04-08 23:55:15,111.366,111.366,111.366,111.366,1
386,2019-04-08 23:55:40,111.373,111.368,111.373,111.368,3
387,2019-04-08 23:55:55,111.368,111.371,111.371,111.368,2
388,2019-04-08 23:56:25,111.366,111.366,111.366,111.366,1
389,2019-04-08 23:56:40,111.374,111.369,111.374,111.369,3
390,2019-04-08 23:56:45,111.372,111.372,111.372,111.372,1
391,2019-04-08 23:56:50,111.366,111.37,111.37,111.366,2
392,2019-04-08 23:57:00,111.374,111.369,111.374,111.369,3
393,2019-04-08 23:57:05,111.377,111.377,111.377,111.377,1
394,2019-04-08 23:57:10,111.374,111.374,111.374,111.372,3
395,2019-04-08 23:57:15,111.368,111.371,111.371,111.368,2
396,2019-04-08 23:57:20,111.369,111.372,111.372,111.369,2
397,2019-04-08 23:57:25,111.367,111.372,111.372,111.367,3
398,2019-04-08 23:57:30,111.372,111.37,111.372,111.37,2
399,2019-04-08 23:57:35,111.376,111.376,111.376,111.376,1
400,2019-04-08 23:57:40,111.38,111.378,111.38,111.378,2
401,2019-04-08 23:58:05,111.383,111.383,111.383,111.383,1
402,2019-04-08 23:58:10,111.38,111.38,111.382,111.38,3
403,2019-04-08 23:58:15,111.375,111.378,111.378,111.375,2
404,2019-04-08 23:58:25,111.368,111.378,111.378,111.368,5
405,2019-04-08 23:58:30,111.37,111.37,111.37,111.37,1
406,2019-04-08 23:58:35,111.373,111.373,111.373,111.373,1
407,2019-04-08 23:58:40,111.368,111.37,111.37,111.368,2
